Date,Team,Opponent,WLD,Goal_Scored,Ball_Possession,Attempts,On_Target,Off_Target,Blocked,Corners,Offsides,Free_Kicks,Saves,Pass_Accuracy,Passes,Distance_Covered_ Kms,Fouls_Committed,Yellow_Card,Yellow_Red,Red,Man_of_the_Match,1st_Goal,Round,PSO,Goals_in_PSO,Own_goals,Own_goal_Time
30.06.2018,Argentina,France,L,3,59,9,4,1,4,4,1,21,0,86,547,96,15,5,0,0,No,41,Round of 16,No,0,,
30.06.2018,Uruguay,Portugal,W,2,39,6,3,2,1,2,0,14,4,69,269,106,13,0,0,0,Yes,7,Round of 16,No,0,,
30.06.2018,Portugal,Uruguay,L,1,61,20,5,1,8,10,1,13,1,84,583,107,13,1,0,0,No,55,Round of 16,No,0,,
01.07.2018,Spain,Russia,L,1,75,25,9,6,10,6,1,20,0,91,1137,137,5,1,0,0,No,12,Round of 16,Yes,3,,
01.07.2018,Russia,Spain,W,1,25,6,1,3,2,5,1,6,9,72,284,146,19,2,0,0,Yes,41,Round of 16,Yes,4,1,12
01.07.2018,Croatia,Denmark,W,1,54,22,7,8,7,5,2,19,2,81,626,132,5,0,0,0,Yes,4,Round of 16,Yes,3,,
01.07.2018,Denmark,Croatia,L,1,46,15,3,10,2,4,0,7,7,79,539,135,19,1,0,0,No,1,Round of 16,Yes,2,,
02.07.2018,Brazil,Mexico,W,2,47,21,10,7,4,8,0,20,1,83,398,92,6,2,0,0,Yes,51,Round of 16,No,0,,
02.07.2018,Mexico,Brazil,L,0,53,13,1,4,8,7,2,6,8,85,424,89,18,4,0,0,No,,Round of 16,No,0,,
02.07.2018,Belgium,Japan,W,3,56,24,8,10,6,10,1,10,3,87,621,108,13,0,0,0,Yes,69,Round of 16,No,0,,
02.07.2018,Japan,Belgium,L,2,44,11,4,4,3,6,1,14,5,83,453,109,9,1,0,0,No,48,Round of 16,No,0,,
03.07.2018,Sweden,Switzerland,W,1,37,12,3,6,3,3,1,13,4,73,271,105,11,1,0,0,Yes,66,Round of 16,No,0,,
03.07.2018,Switzerland,Sweden,L,0,63,18,4,5,9,11,0,12,2,84,599,103,13,2,0,1,No,,Round of 16,No,0,,
03.07.2018,Colombia,England,L,1,48,14,4,7,3,2,1,15,1,78,516,136,23,6,0,0,No,90,Round of 16,Yes,3,,
03.07.2018,England,Colombia,W,1,51,16,2,9,5,7,2,24,3,82,571,143,13,2,0,0,Yes,57,Round of 16,Yes,4,,
06.07.2018,Uruguay,France,L,0,42,11,4,6,1,4,0,15,0,67,322,103,17,2,0,0,No,,Quarter Finals,No,0,,
06.07.2018,France,Uruguay,W,2,58,11,2,7,2,3,0,17,4,81,524,99,15,2,0,0,Yes,40,Quarter Finals,No,0,,
06.07.2018,Brazil,Belgium,L,1,57,26,9,7,10,8,1,16,2,89,557,104,14,2,0,0,No,,Quarter Finals,No,0,1,13
06.07.2018,Belgium,Brazil,W,2,43,8,3,3,2,4,0,15,9,83,370,105,16,2,0,0,Yes,13,Quarter Finals,No,0,,
07.07.2018,Sweden,England,L,0,43,7,3,3,1,1,2,8,0,74,379,107,10,2,0,0,No,,Quarter Finals,No,0,,
07.07.2018,England,Sweden,W,2,57,12,2,4,6,6,1,12,3,80,525,110,7,1,0,0,Yes,30,Quarter Finals,No,0,,
07.07.2018,Russia,Croatia,L,2,38,13,7,4,2,6,1,18,1,69,399,148,25,1,0,0,No,31,Quarter Finals,Yes,3,,
07.07.2018,Croatia,Russia,W,2,62,17,3,10,4,8,0,26,5,82,753,139,18,4,0,0,Yes,39,Quarter Finals,Yes,4,,
10.07.2018,France,Belgium,W,1,40,19,5,8,6,4,1,17,3,86,342,102,6,2,0,0,Yes,51,Semi- Finals,No,0,,
10.07.2018,Belgium,France,L,0,60,9,3,5,1,5,1,7,4,90,629,102,16,3,0,0,No,,Semi- Finals,No,0,,
11.07.2018,Croatia,England,W,2,54,22,7,11,4,8,1,17,0,79,622,143,23,2,0,0,Yes,68,Semi- Finals,No,0,,
11.07.2018,England,Croatia,L,1,46,11,1,6,4,4,3,24,5,79,479,148,14,1,0,0,No,5,Semi- Finals,No,0,,
14.07.2018,Belgium,England,W,2,43,12,4,3,5,4,1,5,5,88,510,108,11,1,0,0,Yes,4,3rd Place,No,0,,
14.07.2018,England,Belgium,L,0,57,15,5,7,3,5,0,12,2,92,698,110,5,2,0,0,No,,3rd Place,No,0,,
15.07.2018,France,Croatia,W,4,39,8,6,1,1,2,1,14,1,75,271,99,14,2,0,0,Yes,18,Final,No,0,1,18
15.07.2018,Croatia,France,L,2,61,15,3,8,4,6,1,15,3,83,547,100,13,1,0,0,No,28,Final,No,0,,
